index,name,type,zpf,mantimes,price,area,datatime,year,mark
1,2012世界末日,灾难,44745,32,68,美国,2009-11-13,2009,1
2,变形金刚2,科幻/动作,40364,32,53,美国,2009-06-24,2009,1
3,建国大业,剧情,39288,32,54,中国/中国香港,2009-09-16,2009,1
4,赤壁(下),战争,24353,34,49,中国/中国香港,2009-01-07,2009,1
5,三枪拍案惊奇,喜剧,22011,33,49,中国,2009-12-10,2009,1
6,十月围城,动作,21362,34,61,中国/中国香港,2009-12-17,2009,1
7,风声,惊悚,20510,33,40,中国/中国香港,2009-09-29,2009,1
8,南京！南京！,战争,15976,30,39,中国/中国香港,2009-04-22,2009,1
9,哈利·波特与混血王子,魔幻/动作,15524,31,46,英国/美国,2009-07-15,2009,1
10,冰川时代3,动画,15049,44,61,美国,2009-07-08,2009,1
11,特种部队：眼镜蛇的崛起,动作,12692,30,39,美国,2009-08-07,2009,1
12,博物馆奇妙夜2,喜剧,11310,29,31,美国,2009-05-26,2009,1
13,终结者2018,科幻,10957,30,30,美国/德国/英国,2009-06-09,2009,1
14,游龙戏凤,爱情,10811,33,36,中国香港/中国,2009-01-26,2009,1
15,疯狂的赛车,喜剧,10494,30,37,中国,2009-01-20,2009,1
16,大内密探灵灵狗,喜剧,10022,29,42,中国香港/中国,2009-07-30,2009,1
17,非常完美,爱情,9194,31,31,韩国/中国,2009-08-13,2009,1
18,窃听风云,剧情,8635,29,42,中国香港/中国,2009-07-24,2009,1
19,花木兰,爱情,8087,31,38,中国/美国,2009-11-27,2009,1
20,喜羊羊与灰太狼之牛气冲天,动画,7960,26,49,中国,2009-01-16,2009,1
21,飞屋环游记,动画,7907,43,41,美国,2009-08-04,2009,1
22,金刚狼,动作,7695,30,25,美国,2009-05-03,2009,1
23,非诚勿扰,爱情,7423,34,33,中国/中国香港,2008-12-18,2009,1
24,麦兜响当当,动画,7021,28,41,中国香港/中国,2017-03-17,2009,1
25,七龙珠,动作,6500,29,23,美国,2009-03-14,2009,1
26,阿凡达,科幻/动作,133983,50,72,美国,2010-01-04,2010,1
27,唐山大地震,剧情,64988,37,51,中国/中国香港,2010-07-22,2010,1
28,让子弹飞,喜剧,47376,38,62,中国/中国香港,2010-12-16,2010,1
29,盗梦空间,科幻/动作,46235,34,50,美国/英国,2010-09-01,2010,1
30,非诚勿扰2,爱情,32850,39,62,中国/中国香港,2010-12-22,2010,1
31,狄仁杰之通天帝国,动作,28616,33,40,中国/中国香港,2010-09-29,2010,1
32,叶问2：宗师传奇,动作,22952,33,36,中国/中国香港,2010-04-27,2010,1
33,爱丽丝梦游仙境,奇幻,22874,47,39,美国,2010-03-26,2010,1
34,敢死队,动作,21443,32,38,美国,2010-08-20,2010,1
35,哈利·波特与死亡圣器(上),魔幻/动作,20987,32,38,英国/美国,2010-11-19,2010,1
36,赵氏孤儿,动作,18004,33,34,中国,2010-12-04,2010,1
37,赵氏孤儿,,18004,33,34,,,2010,1
38,钢铁侠2,科幻/动作,17508,33,33,美国,2010-05-07,2010,1
39,诸神之战,魔幻/动作,17113,50,37,美国,2010-04-16,2010,1
40,波斯王子：时之刃,科幻/动作,15907,32,35,美国,2010-05-28,2010,1
41,大兵小将,动作,15728,32,40,中国/中国香港,2010-02-14,2010,1
42,大笑江湖,喜剧,15093,32,32,中国/中国台湾,2010-12-03,2010,1
43,山楂树之恋,爱情,14496,33,29,中国,2010-09-15,2010,1
44,锦衣卫,动作,14030,33,39,中国/中国香港,2010-02-03,2010,1
45,精武风云·陈真,动作,13821,33,33,中国/中国香港,2010-09-21,2010,1
46,生化危机4：战神再生,动作/科幻,13548,40,26,美国/德国/法国/英国,2010-11-16,2010,1
47,越光宝盒,喜剧,13059,32,31,中国香港/中国,2010-03-18,2010,1
48,全城热恋,爱情,12942,34,38,中国/中国香港,2010-02-11,2010,1
49,枪王之王,动作,12658,32,35,中国香港/中国,2010-07-02,2010,1
50,杜拉拉升职记,爱情,12441,32,31,中国,2010-04-15,2010,1
51,变形金刚3,科幻,107150,42,54,美国,2011-07-21,2011,1
52,功夫熊猫2,动画,61198,38,42,美国,2011-05-28,2011,1
53,加勒比海盗4：惊涛怪浪,魔幻/动作,46439,38,45,美国,2011-05-20,2011,1
54,金陵十三钗,战争,45013,41,47,中国,2011-12-15,2011,1
55,建党伟业,战争,40719,35,37,中国/中国香港,2011-06-15,2011,1
56,哈利·波特与死亡圣器(下),魔幻/动作,40245,39,40,英国/美国,2011-08-04,2011,1
57,龙门飞甲,动作,39664,44,41,中国/中国香港,2011-12-15,2011,1
58,失恋33天,爱情,32051,32,37,中国,2011-11-08,2011,1
59,蓝精灵,动画,25221,38,38,美国,2011-08-10,2011,1
60,速度与激情5,动作/剧情,25215,32,38,美国,2011-05-12,2011,1
61,洛杉矶之战,科幻/战争,22600,32,32,美国,2011-03-18,2011,1
62,新少林寺,动作,21253,36,34,中国/中国香港,2011-01-19,2011,1
63,窃听风云2,动作,20887,34,30,中国/中国香港,2011-08-18,2011,1
64,武林外传,喜剧,19600,36,36,中国,2011-01-26,2011,1
65,将爱情进行到底,爱情,19363,35,27,中国,2011-02-12,2011,1
66,武林外传,古装/喜剧,18648,36,33,中国,,2011,1
67,猩球崛起,科幻/动作,18313,31,31,美国,2011-10-28,2011,1
68,武侠,动作,17017,34,29,中国/中国香港,2011-07-04,2011,1
69,白蛇传说,爱情,16878,33,25,中国,2011-09-28,2011,1
70,最强囍事,喜剧,16493,34,35,中国香港/中国,2011-01-31,2011,1
71,让子弹飞,喜剧,16310,38,28,中国/中国香港,2010-12-16,2011,1
72,关云长,动作,15739,34,26,中国/中国香港,2011-04-26,2011,1
73,画壁,奇幻,14934,33,26,中国/中国香港,2011-09-29,2011,1
74,倩女幽魂,爱情,14093,34,22,中国/中国香港,2011-04-19,2011,1
75,鸿门宴,动作,13960,33,24,中国,2011-11-29,2011,1
76,人再囧途之泰囧,喜剧,100303,32,57,中国,2012-12-12,2012,1
77,泰坦尼克号3D,爱情,94620,45,54,美国,2012-04-10,2012,1
78,画皮2,爱情,70210,41,37,中国/中国香港,2012-06-28,2012,1
79,碟中谍4,动作,67219,35,43,美国,2012-01-28,2012,1
80,少年派的奇幻漂流,剧情,57289,39,38,美国,2012-11-22,2012,1
81,复仇者联盟,科幻,56649,42,33,美国,2012-05-05,2012,1
82,十二生肖,动作,53527,41,50,中国/中国香港,2012-12-20,2012,1
83,黑衣人3,科幻,50343,41,29,美国,2012-05-25,2012,1
84,冰川时代4：大陆漂移,动画,44743,38,28,美国,2012-07-27,2012,1
85,地心历险记2：神秘岛,科幻,38652,42,31,美国,2012-02-10,2012,1
86,一九四二,战争,36994,37,31,中国/中国香港,2012-11-29,2012,1
87,蝙蝠侠：黑暗骑士崛起,动作,33878,37,29,美国/英国,2012-08-27,2012,1
88,敢死队2,动作/惊悚,33158,33,26,美国/中国,2012-09-04,2012,1
89,超凡蜘蛛侠,科幻,31052,41,26,美国,2012-08-27,2012,1
90,超级战舰,动作/科幻,31011,34,31,美国,2012-04-18,2012,1
91,异星战场,科幻/动作,26009,40,25,美国,2012-03-16,2012,1
92,寒战,动作,25304,32,21,中国香港,2012-11-08,2012,1
93,听风者,剧情,23217,35,26,中国/中国香港,2012-08-07,2012,1
94,普罗米修斯,科幻,22321,40,23,美国,2012-09-02,2012,1
95,谍影重重4,动作,21315,33,22,美国,2012-10-25,2012,1
96,马达加斯加3,动画,20916,39,24,美国,2012-06-08,2012,1
97,四大名捕,动作,19182,33,23,中国/中国香港,2012-07-12,2012,1
98,大侦探福尔摩斯2,惊悚/动作,18806,33,37,美国,2012-01-15,2012,1
99,饥饿游戏,动作/科幻,17434,34,26,美国,2012-06-14,2012,1
100,大魔术师,爱情,17363,34,33,中国/中国香港,2012-01-12,2012,1
101,西游降魔篇,奇幻,124699,40,41,中国/中国香港,2013-02-10,2013,1
102,钢铁侠3,科幻,75486,42,33,美国/中国,2013-05-01,2013,1
103,致我们终将逝去的青春,爱情,71910,32,36,中国,2013-04-26,2013,1
104,环太平洋,科幻,69465,40,38,美国,2013-07-31,2013,1
105,狄仁杰之神都龙王,动作,60078,40,30,中国,2013-09-28,2013,1
106,私人订制,喜剧,58872,36,35,中国/中国香港,2013-12-19,2013,1
107,中国合伙人,爱情,53879,32,27,中国/中国香港,2013-05-17,2013,1
108,北京遇上西雅图,爱情,51975,32,31,中国/中国香港,2013-03-21,2013,1
109,小时代,爱情,48436,32,32,中国,2013-06-27,2013,1
110,地心引力,科幻,43553,41,23,美国,2013-11-19,2013,1
111,速度与激情6,动作,41330,33,33,美国,2013-07-26,2013,1
112,疯狂原始人,动画,39472,37,28,美国,2013-04-20,2013,1
113,超人：钢铁之躯,动作,39448,41,28,美国,2013-06-20,2013,1
114,007：大破天幕杀机,动作,37613,35,29,英国/美国,2013-01-21,2013,1
115,星际迷航：暗黑无界,科幻,35294,41,23,美国,2013-05-28,2013,1
116,侏罗纪公园,科幻,34886,38,26,美国,2013-08-20,2013,1
117,十二生肖,动作,34588,39,27,中国/中国香港,2012-12-20,2013,1
